iter	Passed	Remaining
464	748	861
465	750	859
466	751	857
467	752	855
468	753	853
469	754	851
470	756	849
471	757	847
472	758	845
473	759	843
474	760	840
475	762	838
476	763	836
477	764	834
478	765	832
479	766	830
480	767	828
481	768	826
482	770	824
483	771	822
484	773	821
485	774	819
486	775	817
487	776	815
488	778	813
489	779	811
490	780	809
491	781	807
492	782	805
493	784	803
494	785	801
495	787	800
496	788	798
497	790	796
498	791	794
499	792	792
500	793	790
501	794	788
502	795	786
503	797	784
504	798	782
505	799	780
506	801	779
507	802	777
508	803	775
509	804	773
510	805	771
511	806	769
512	808	767
513	809	765
514	810	763
515	811	761
516	813	759
517	814	758
518	816	756
519	817	754
520	818	752
521	819	750
522	820	748
523	822	746
524	823	745
525	824	743
526	825	741
527	827	739
528	828	737
529	829	735
530	830	733
531	832	731
532	833	730
533	834	728
534	835	726
535	836	724
536	837	722
537	838	720
538	839	718
539	841	716
540	842	714
541	843	712
542	844	710
543	845	709
544	847	707
545	848	705
546	849	703
547	850	701
548	851	699
549	852	697
550	854	696
551	855	694
552	856	692
553	858	690
554	859	688
555	860	687
556	861	685
557	863	683
558	864	681
559	865	679
560	866	678
561	867	676
562	868	674
563	870	672
564	871	671
565	873	669
566	874	667
567	875	666
568	877	664
569	878	662
570	879	660
571	880	658
572	881	657
573	883	655
574	884	653
575	885	652
576	887	650
577	888	648
578	889	646
579	890	644
580	892	643
581	893	641
582	894	639
583	895	637
584	896	636
585	898	634
586	899	632
587	900	631
588	901	629
589	902	627
590	903	625
591	905	623
592	906	622
593	907	620
594	908	618
595	909	616
596	911	615
597	912	613
598	913	611
599	915	610
600	916	608
601	917	606
602	918	605
603	920	603
604	921	601
605	922	600
606	924	598
607	925	596
608	926	594
609	927	592
610	928	591
611	929	589
612	930	587
613	932	586
614	933	584
615	934	582
616	936	581
617	937	579
618	938	577
619	939	575
620	941	574
621	942	572
622	943	571
623	945	569
624	946	567
625	947	566
626	948	564
627	950	562
628	951	561
629	952	559
630	953	557
631	955	556
632	956	554
633	957	552
634	959	551
635	960	549
636	961	547
637	962	546
638	963	544
639	964	542
640	966	541
641	967	539
642	968	537
643	969	535
644	970	534
645	971	532
646	972	530
647	974	529
648	975	527
649	977	526
650	979	524
651	980	523
652	981	521
653	983	520
654	984	518
655	986	517
656	988	516
657	989	514
658	991	512
659	992	511
660	994	509
661	995	508
662	997	507
663	999	505
664	1000	503
665	1001	502
666	1002	500
667	1004	499
668	1005	497
669	1006	495
670	1007	494
671	1008	492
672	1010	490
673	1011	489
674	1013	487
675	1014	486
676	1015	484
677	1016	482
678	1018	481
679	1019	479
680	1020	477
681	1021	476
682	1022	474
683	1023	472
684	1025	471
685	1026	470
686	1028	468
687	1029	466
688	1030	465
689	1032	463
690	1033	462
691	1034	460
692	1035	458
693	1036	457
694	1038	455
695	1040	454
696	1041	452
697	1042	451
698	1043	449
699	1045	447
700	1046	446
701	1047	444
702	1049	443
703	1050	441
704	1051	440
705	1053	438
706	1054	437
707	1056	435
708	1057	433
709	1058	432
710	1059	430
711	1060	429
712	1061	427
713	1063	425
714	1064	424
715	1065	422
716	1066	421
717	1067	419
718	1069	417
719	1070	416
720	1071	414
721	1072	413
722	1074	411
723	1075	409
724	1077	408
725	1078	406
726	1079	405
727	1080	403
728	1081	402
729	1083	400
730	1084	398
731	1085	397
732	1086	395
733	1087	394
734	1088	392
735	1089	390
736	1090	389
737	1092	387
738	1093	386
739	1094	384
740	1095	382
741	1096	381
742	1097	379
743	1098	378
744	1099	376
745	1101	374
746	1102	373
747	1103	371
748	1104	370
749	1105	368
750	1106	366
751	1107	365
752	1108	363
753	1110	362
754	1111	360
755	1112	359
756	1114	357
757	1115	356
758	1117	354
759	1118	353
760	1119	351
761	1120	350
762	1122	348
763	1123	346
764	1124	345
765	1125	343
766	1126	342
767	1127	340
768	1129	339
769	1130	337
770	1131	336
771	1132	334
772	1133	332
773	1134	331
774	1135	329
775	1136	328
776	1138	326
777	1139	325
778	1140	323
779	1141	321
780	1142	320
781	1143	318
782	1144	317
783	1146	315
784	1147	314
785	1148	312
786	1149	311
